node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	300642	1616	4144038	12695	0	0	0	0	2014020	5738	0	0	0	0	49	49	0.23981632653061216	0.33	11.0	12.89
100	301230	2176	14868273	31839	0	0	0	0	7219104	13827	0	0	0	0	99	99	0.3339696969696969	0.15	3.73	9.05
150	301819	2745	32116021	56088	0	0	0	0	15649218	23845	0	0	0	0	149	149	0.4114228187919464	0.07	1.79	6.57
200	302405	3310	55155356	80034	0	0	0	0	27166824	35484	0	0	0	0	199	199	0.4068894472361809	0.18	1.73	5.22
250	302944	3875	85058150	111911	0	0	0	0	41877581	49842	0	0	0	0	249	249	0.4594016064257029	0.24	1.77	4.35
300	303509	4434	121520619	150152	0	0	0	0	59963349	66329	0	0	0	0	299	299	0.5018127090301006	1.14	2.31	4.1
