node_count	time_ms	packets_send	packets_received	rtt_avg_ms
50	35072	200	97	5.738041237113401
50	70151	200	15	2.677066666666667
50	105244	200	124	6.144137096774194
50	140307	200	147	6.657721088435374
50	175377	200	30	5.596
50	210452	200	110	6.039600000000001
50	245523	200	38	4.698263157894738
50	280697	200	24	4.3
50	316114	200	85	6.303929411764707
50	351186	200	110	6.927036363636368
50	386204	200	96	6.57623958333333
50	421838	200	61	5.328245901639345
50	456916	200	20	5.38395
50	491699	200	182	6.3899890109890105
50	526811	200	7	3.354
50	561877	200	64	5.8285625
50	596968	200	110	7.432527272727272
50	632059	200	22	4.268181818181819
50	667151	200	59	6.27864406779661
50	702014	200	184	6.185641304347825
50	737087	200	42	4.026738095238095
50	771751	200	192	6.391572916666664
50	806823	200	28	4.091392857142858
50	842223	200	182	6.095730769230768
50	877301	200	29	4.158275862068967
50	912373	200	49	4.058306122448981
50	947465	200	50	5.240080000000001
50	982538	200	74	5.605581081081081
50	1017162	200	192	6.494932291666667
50	1052235	200	35	3.9736000000000007
