node_count	time_ms	packets_send	packets_received	rtt_avg_ms
50	35059	200	50	2.8503399999999988
50	70133	200	28	2.0138214285714287
50	105191	200	151	11.53117218543046
50	140284	200	106	3.2853457943925237
50	175360	200	97	3.9167938144329875
50	210443	200	89	3.359449438202247
50	245505	200	58	2.707816666666667
50	280596	200	114	2.773026315789474
50	315691	200	45	2.2329333333333334
50	350765	200	105	16.649980952380954
50	385848	200	75	3.5698533333333344
50	420939	200	100	3.4779799999999996
50	456950	200	61	3.200704918032786
50	492032	200	36	6.315111111111111
50	527118	200	33	2.621060606060606
50	562183	200	33	2.1370303030303037
50	597250	200	120	12.067166666666663
50	632330	200	119	9.459890756302523
50	667412	200	75	10.793613333333333
50	703200	200	95	2.7944736842105264
50	738247	200	99	2.6609797979797976
50	773127	200	159	3.1579748427672953
50	808209	200	113	11.455230088495576
50	843593	200	67	2.5561194029850745
50	878660	200	67	19.106731343283588
50	913736	200	134	4.7335746268656695
50	948825	200	71	2.189430555555556
50	983847	200	76	7.4952894736842115
50	1018932	200	116	3.5247327586206905
50	1053964	200	118	3.401949152542373
