dataset_name	node_count	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
altdorf-0660	660	313114	7917113161	64967514	0	17930	0	0	69454435	623267	0	130	0	0	660	658	22.753539513677794	92.28	50.66	26.67
berlin-0795	795	316908	2374096040	16976844	0	0	0	0	83536655	655231	0	1	0	0	795	795	15.336049056603766	3.72	15.7	22.73
bielefeld-0246	246	303072	1293002565	11126725	0	0	0	0	24122018	214857	0	5	0	0	246	246	9.350097560975613	0.19	3.42	13.02
bremen-0835	835	321055	4222205014	32469059	0	11	0	0	88970852	775072	0	3	0	0	835	835	18.03497964071854	22.89	20.2	17.78
cologne-area-0279	279	303538	691631848	5607754	0	0	0	0	34292087	306389	0	0	0	0	279	279	10.171856630824378	5.96	5.94	11.59
leipzig-0210	210	302586	200246179	1528083	0	0	0	0	24470578	196570	0	0	0	0	210	210	9.497509523809523	0.19	2.04	7.28
ulm-0217	217	302652	453475398	3786863	0	0	0	0	23034194	200705	0	0	0	0	217	217	8.700857142857146	5.24	4.81	6.29
