station_count	satellite_count	sim_time_sec	real_time_sec	packets_send	packets_received	rtt_avg_ms
6	90	0	150.314	20	20	0.2510500000000001
6	90	300	300.648	20	20	0.2041
6	90	600	450.984	20	20	0.20179999999999998
6	90	900	601.321	20	20	0.1854
6	90	1200	751.657	20	20	0.17975
6	90	1500	901.977	20	20	0.1761
6	90	1800	1052.305	20	20	0.1639
6	90	2100	1202.613	20	20	0.19349999999999995
6	90	2400	1352.944	20	20	0.1671
6	90	2700	1503.277	20	20	0.18535
6	90	3000	1653.606	20	20	0.17279999999999998
6	90	3300	1803.943	20	20	0.19615
6	90	3600	1954.28	20	20	0.17844999999999997
6	90	3900	2104.6	20	20	0.17240000000000003
6	90	4200	2254.936	20	20	0.19965
6	90	4500	2405.176	20	20	0.17210000000000003
6	90	4800	2555.514	20	20	0.17810000000000004
6	90	5100	2705.816	20	20	0.18455
6	90	5400	2856.148	20	20	0.1908
6	90	5700	3006.483	20	20	0.1901
6	90	6000	3156.818	20	20	0.18874999999999997
6	90	6300	3307.148	20	20	0.18335
6	90	6600	3457.473	20	20	0.16445
6	90	6900	3607.806	20	20	0.17020000000000002
