station_count	satellite_count	sim_time_sec	real_time_sec	packets_send	packets_received	rtt_avg_ms
6	90	0	150.337	20	20	0.41575000000000006
6	90	300	300.586	20	20	0.26025000000000004
6	90	600	450.829	20	20	0.2612
6	90	900	601.165	20	20	0.22440000000000002
6	90	1200	751.409	20	20	0.2435
6	90	1500	901.654	20	20	0.2314
6	90	1800	1051.905	20	20	0.21435000000000004
6	90	2100	1202.15	20	20	0.21649999999999997
6	90	2400	1352.483	20	20	0.21575000000000003
6	90	2700	1502.725	20	20	0.21240000000000006
6	90	3000	1652.977	20	20	0.2173
6	90	3300	1803.231	20	20	0.26444999999999996
6	90	3600	1953.477	20	20	0.22825
6	90	3900	2103.719	20	20	0.23295000000000007
6	90	4200	2253.962	20	20	0.22879999999999995
6	90	4500	2404.205	20	20	0.2443000000000001
6	90	4800	2554.475	20	20	0.229
6	90	5100	2704.723	20	20	0.24800000000000005
6	90	5400	2854.973	20	20	0.24355000000000002
6	90	5700	3005.213	20	20	0.22829999999999995
6	90	6000	3155.462	20	20	0.22164999999999996
6	90	6300	3305.725	20	20	0.24739999999999998
6	90	6600	3455.977	20	20	0.22830000000000003
6	90	6900	3606.226	20	20	0.23070000000000004
