station_count	satellite_count	sim_time_sec	real_time_sec	packets_send	packets_received	rtt_avg_ms
6	90	0	150.342	20	20	10.038849999999998
6	90	300	300.592	20	20	11.65085
6	90	600	450.861	20	20	10.8815
6	90	900	601.113	20	20	11.049949999999999
6	90	1200	751.45	20	20	10.837250000000001
6	90	1500	901.752	20	20	10.563
6	90	1800	1052.086	20	20	10.304649999999999
6	90	2100	1202.417	20	20	10.240049999999998
6	90	2400	1352.673	20	20	9.65185
6	90	2700	1502.935	20	20	10.7101
6	90	3000	1653.218	20	20	10.143199999999998
6	90	3300	1803.549	20	20	9.973600000000001
6	90	3600	1953.881	20	20	11.988949999999999
6	90	3900	2104.129	20	20	10.1216
6	90	4200	2254.462	20	20	10.519300000000003
6	90	4500	2404.793	20	20	11.32245
6	90	4800	2555.035	20	20	11.804649999999999
6	90	5100	2705.282	20	20	10.865750000000002
6	90	5400	2855.516	20	20	9.606749999999998
6	90	5700	3005.851	20	20	11.8602
6	90	6000	3156.149	20	20	10.158600000000002
6	90	6300	3306.484	20	20	10.70325
6	90	6600	3456.82	20	20	10.4652
6	90	6900	3607.148	20	20	10.110300000000002
