load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	wait_ms	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.19	0.81	0.96	4	2	2	60000.0	60039	0	259162	3755	0	2	0	0	129640	1878	0	0	0	0
0.04	0.52	0.83	9	6	6	60000.0	60017	0	1657780	20976	0	16	0	0	615042	7709	0	0	0	0
0.06	0.37	0.72	16	12	12	60000.0	60007	0	5561818	56337	0	63	0	0	1836346	18431	0	0	0	0
0.25	0.38	0.66	25	20	20	60000.0	60004	0	13906808	115280	0	140	0	0	4311474	35557	0	0	0	0
0.27	0.40	0.62	36	30	30	60000.0	60004	0	29435680	203708	0	336	0	0	8765150	60453	0	0	0	0
0.26	0.46	0.61	49	42	42	60000.0	60003	0	55152938	323401	0	635	0	0	15976474	93407	0	0	0	0
0.26	0.54	0.63	64	56	56	60000.0	60002	1	96442210	493433	0	1243	0	0	27393350	139763	0	0	0	0
0.41	0.60	0.65	81	72	72	60000.0	60002	1	156426230	697811	0	2027	0	0	43718846	194741	0	0	0	0
1.01	0.90	0.80	100	90	90	60000.0	60001	2	243930026	975525	0	3627	0	0	67360390	269045	0	0	0	0
1.18	1.07	0.94	121	110	110	60000.0	60001	2	261946512	1122840	0	5420	0	0	71491116	306660	0	0	0	0
1.43	1.22	1.06	144	132	131	60000.0	60001	3	233637482	1212895	0	7357	0	0	63147798	328647	0	0	0	0
1.50	1.31	1.16	169	156	142	60000.0	60001	4	211493412	1289672	0	7401	0	0	56650250	346781	0	0	0	0
1.34	1.26	1.19	196	182	127	60000.0	60000	5	200138102	1381033	0	8274	0	0	53466762	370267	0	284	0	0
