load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	wait_ms	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.25	0.71	0.88	4	2	0	60000.0	60035	0	161030	1387	0	0	0	0	80570	694	0	0	0	0
0.07	0.48	0.76	9	6	2	60000.0	60017	0	475380	4061	0	0	0	0	178808	1529	0	0	0	0
0.08	0.37	0.68	16	12	3	60000.0	60004	0	953261	8127	0	0	0	0	318554	2715	0	0	0	0
0.16	0.32	0.61	25	20	12	60000.0	60006	0	1618342	13785	0	0	0	0	506117	4312	0	0	0	0
0.22	0.37	0.58	36	30	10	60000.0	60004	0	2519633	21606	0	0	0	0	753927	6457	0	0	0	0
0.33	0.49	0.60	49	42	15	60000.0	60002	0	3521794	30083	0	0	0	0	1028430	8785	0	0	0	0
0.22	0.48	0.59	64	56	11	60000.0	60002	0	4851285	41555	0	0	0	0	1387561	11886	0	0	0	0
0.28	0.54	0.61	81	72	27	60000.0	60001	0	6371291	54461	0	0	0	0	1791662	15313	0	0	0	0
0.49	0.68	0.68	100	90	21	60000.0	60001	0	8203640	70177	0	2	0	0	2280684	19513	0	0	0	0
0.55	0.77	0.76	121	110	27	60000.0	60001	0	10363981	88579	0	0	0	0	2850329	24362	0	0	0	0
0.57	0.83	0.84	144	132	34	60000.0	60001	0	12829169	110092	0	0	0	0	3497856	30010	0	0	0	0
0.58	0.83	0.90	169	156	42	60000.0	60001	0	15625220	133931	0	0	0	0	4231404	36268	0	0	0	0
0.95	0.92	0.96	196	182	43	60000.0	60000	0	18949913	162541	0	0	0	0	5103120	43772	0	0	0	0
