node_count	time_ms	step_distance_m	n	packets_arrived_pc	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
50	13103	50	0	74.84662576687117	10110966	83111	0	0	0	0	1509686	12263	0	0	0	0
50	13245	50	1	52.601156069364166	10579962	87205	0	0	0	0	1591054	13017	0	0	0	0
50	13529	50	2	46.2962962962963	8795880	77470	0	0	0	0	1386354	12059	0	0	0	0
50	13068	50	3	66.66666666666666	7159768	64894	0	0	0	0	1080986	9681	0	0	0	0
50	13182	50	4	76.96969696969697	11809824	90330	0	0	0	0	1798090	13629	0	0	0	0
50	13224	50	5	69.61325966850829	12438842	94319	0	0	0	0	1891942	14251	0	0	0	0
50	13423	100	0	49.101796407185624	10771438	86425	0	0	0	0	1611708	12890	0	0	0	0
50	13677	100	1	19.49685534591195	8667224	76906	0	0	0	0	1252160	11106	0	0	0	0
50	13380	100	2	46.540880503144656	9115102	78875	0	0	0	0	1318530	11369	0	0	0	0
50	13188	100	3	85.63218390804597	13171558	99473	0	0	0	0	1898612	14222	0	0	0	0
50	13240	100	4	35.714285714285715	9739472	81980	0	0	0	0	1365330	11435	0	0	0	0
50	13217	100	5	41.0958904109589	8153570	72359	0	0	0	0	1206804	10546	0	0	0	0
50	13823	150	0	38.51851851851852	10461914	88815	0	0	0	0	1404700	11910	0	0	0	0
50	13364	150	1	25.581395348837212	9113494	81159	0	0	0	0	1216486	10845	0	0	0	0
50	13216	150	2	51.85185185185185	10611624	88858	0	0	0	0	1371606	11481	0	0	0	0
50	13621	150	3	45.52238805970149	11271234	95743	0	0	0	0	1384192	11672	0	0	0	0
50	13962	150	4	63.04347826086957	12213836	98450	0	0	0	0	1606566	12827	0	0	0	0
50	13290	150	5	55.639097744360896	11052050	92003	0	0	0	0	1369004	11266	0	0	0	0
50	13664	200	0	15.602836879432624	10832794	95195	0	0	0	0	1195856	10450	0	0	0	0
50	13481	200	1	54.71698113207547	10045354	89781	0	0	0	0	1161614	10295	0	0	0	0
50	13220	200	2	40.140845070422536	10213352	88238	0	0	0	0	1194942	10417	0	0	0	0
50	13223	200	3	31.818181818181817	9275202	84217	0	0	0	0	1115368	10092	0	0	0	0
50	13404	200	4	36.36363636363637	10212358	89969	0	0	0	0	1193092	10422	0	0	0	0
50	13274	200	5	53.90625	11084012	93446	0	0	0	0	1311738	10993	0	0	0	0
50	13253	250	0	34.42622950819672	10785768	93672	0	0	0	0	1230096	10692	0	0	0	0
50	13255	250	1	54.93827160493827	10824508	90382	0	0	0	0	1339444	11206	0	0	0	0
50	13259	250	2	49.00662251655629	11216692	92182	0	0	0	0	1454412	11924	0	0	0	0
50	13658	250	3	35.88235294117647	10541644	88770	0	0	0	0	1418818	12023	0	0	0	0
50	13163	250	4	62.16216216216216	10938608	88914	0	0	0	0	1372330	11199	0	0	0	0
50	14096	250	5	48.07692307692308	10405744	89422	0	0	0	0	1282096	10908	0	0	0	0
50	13860	300	0	29.72972972972973	11150044	98242	0	0	0	0	1229706	10835	0	0	0	0
50	13356	300	1	27.819548872180448	9532680	84776	0	0	0	0	1087364	9782	0	0	0	0
50	13296	300	2	26.811594202898554	9434560	84086	0	0	0	0	1091212	9870	0	0	0	0
50	13258	300	3	33.33333333333333	9767036	87176	0	0	0	0	1169548	10520	0	0	0	0
50	13311	300	4	27.21518987341772	9221044	82218	0	0	0	0	1166258	10457	0	0	0	0
50	13230	300	5	58.59872611464968	10677448	87708	0	0	0	0	1443968	11886	0	0	0	0
50	13966	350	0	34.66666666666667	11391778	94337	0	0	0	0	1452714	12057	0	0	0	0
50	13232	350	1	30.76923076923077	9359952	82822	0	0	0	0	1208464	10704	0	0	0	0
50	13258	350	2	66.17647058823529	11801584	93892	0	0	0	0	1533628	12214	0	0	0	0
50	13339	350	3	49.2063492063492	10131478	83921	0	0	0	0	1325970	11059	0	0	0	0
50	13229	350	4	34.04255319148936	9583946	82419	0	0	0	0	1261900	10936	0	0	0	0
50	13200	350	5	64.70588235294117	10691804	87856	0	0	0	0	1394762	11549	0	0	0	0
50	13229	400	0	43.63636363636363	11679396	101488	0	0	0	0	1262850	10935	0	0	0	0
50	13242	400	1	47.45762711864407	10262404	88358	0	0	0	0	1222100	10576	0	0	0	0
50	13340	400	2	52.38095238095239	10365338	87783	0	0	0	0	1259326	10711	0	0	0	0
50	13315	400	3	46.846846846846844	12960004	111408	0	0	0	0	1412558	11997	0	0	0	0
50	13341	400	4	42.72727272727273	10359482	88357	0	0	0	0	1216838	10391	0	0	0	0
50	13326	400	5	49.6124031007752	11045846	92331	0	0	0	0	1295278	10859	0	0	0	0
