node_count	time_ms	step_distance_m	n	packets_arrived_pc	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
50	13538	50	0	23.92638036809816	2433615	11987	0	0	0	0	353424	1681	0	0	0	0
50	13258	50	1	21.965317919075144	5172729	23798	0	0	0	0	780331	3449	0	0	0	0
50	13220	50	2	23.456790123456788	5554305	19516	0	0	0	0	811174	2871	0	0	0	0
50	13222	50	3	17.857142857142858	4284851	17067	0	0	0	0	625189	2458	0	0	0	0
50	13612	50	4	49.696969696969695	9473708	30723	0	0	0	0	1377884	4515	0	0	0	0
50	14571	50	5	11.049723756906078	2747524	15154	0	0	0	0	418201	2253	0	0	0	0
50	13243	100	0	11.976047904191617	5159538	19150	0	0	0	0	748081	2769	0	0	0	0
50	13883	100	1	7.547169811320755	5151278	23998	0	0	0	0	747433	3371	0	0	0	0
50	13231	100	2	7.547169811320755	5883239	22340	0	0	0	0	858547	3224	0	0	0	0
50	13392	100	3	8.045977011494253	4755337	24313	0	0	0	0	672713	3377	0	0	0	0
50	13357	100	4	10.38961038961039	4820598	23600	0	0	0	0	664931	3214	0	0	0	0
50	13318	100	5	10.95890410958904	6729068	29866	0	0	0	0	936333	4068	0	0	0	0
50	13288	150	0	5.9259259259259265	5151733	26011	0	0	0	0	676779	3395	0	0	0	0
50	13344	150	1	0.5813953488372093	5689810	26224	0	0	0	0	780725	3459	0	0	0	0
50	13832	150	2	3.7037037037037033	7382476	33192	0	0	0	0	914656	4077	0	0	0	0
50	13285	150	3	2.9850746268656714	5757477	28171	0	0	0	0	720850	3357	0	0	0	0
50	13436	150	4	8.695652173913043	5411351	29314	0	0	0	0	709683	3599	0	0	0	0
50	13315	150	5	10.526315789473683	7401735	34172	0	0	0	0	845171	3975	0	0	0	0
50	13320	200	0	1.4184397163120568	6928943	34732	0	0	0	0	770634	3605	0	0	0	0
50	13336	200	1	4.716981132075472	8714905	39418	0	0	0	0	921479	4054	0	0	0	0
50	13326	200	2	2.112676056338028	6751133	32512	0	0	0	0	775754	3616	0	0	0	0
50	13526	200	3	5.454545454545454	6212326	32577	0	0	0	0	709062	3621	0	0	0	0
50	13314	200	4	2.797202797202797	11999141	41494	0	0	0	0	1127431	4307	0	0	0	0
50	13269	200	5	10.9375	5314400	29817	0	0	0	0	661210	3444	0	0	0	0
50	13271	250	0	4.918032786885246	4826031	27382	0	0	0	0	591837	3129	0	0	0	0
50	13240	250	1	6.172839506172839	6276142	31981	0	0	0	0	763565	3769	0	0	0	0
50	13252	250	2	4.635761589403973	5220586	27536	0	0	0	0	658979	3403	0	0	0	0
50	13279	250	3	5.294117647058823	5243983	28089	0	0	0	0	697882	3650	0	0	0	0
50	13284	250	4	3.6036036036036037	6004368	28962	0	0	0	0	771465	3534	0	0	0	0
50	13227	250	5	4.807692307692308	5601788	27671	0	0	0	0	705174	3238	0	0	0	0
50	13295	300	0	3.3783783783783785	6744124	34322	0	0	0	0	758940	3728	0	0	0	0
50	13307	300	1	0.7518796992481203	5589853	29418	0	0	0	0	679104	3278	0	0	0	0
50	13317	300	2	1.4492753623188406	7283860	34506	0	0	0	0	813236	3765	0	0	0	0
50	13259	300	3	2.666666666666667	6535574	32147	0	0	0	0	797620	3737	0	0	0	0
50	13273	300	4	1.2658227848101267	6857124	31081	0	0	0	0	860471	3862	0	0	0	0
50	13535	300	5	4.45859872611465	5166092	26834	0	0	0	0	689683	3444	0	0	0	0
50	13345	350	0	4.666666666666667	6808604	32343	0	0	0	0	809775	3848	0	0	0	0
50	13360	350	1	1.282051282051282	6519899	31034	0	0	0	0	825089	3897	0	0	0	0
50	14020	350	2	9.558823529411764	7883655	36683	0	0	0	0	997789	4622	0	0	0	0
50	13688	350	3	7.142857142857142	5518984	30312	0	0	0	0	739625	3803	0	0	0	0
50	13315	350	4	7.092198581560284	4997022	25598	0	0	0	0	679139	3273	0	0	0	0
50	13364	350	5	5.88235294117647	7387416	34451	0	0	0	0	908870	4175	0	0	0	0
50	13400	400	0	6.363636363636363	4841681	26295	0	0	0	0	606712	3077	0	0	0	0
50	13263	400	1	0.847457627118644	5014401	25433	0	0	0	0	616906	2951	0	0	0	0
50	13245	400	2	6.349206349206349	5545346	29683	0	0	0	0	689620	3504	0	0	0	0
50	13283	400	3	9.90990990990991	4642495	25957	0	0	0	0	551635	2965	0	0	0	0
50	13558	400	4	3.6363636363636362	4790279	26045	0	0	0	0	630947	3162	0	0	0	0
50	13321	400	5	10.852713178294573	4803001	26548	0	0	0	0	589921	3156	0	0	0	0
