dataset_name	node_count	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
altdorf-0660	660	311895	13812352	99170	0	0	0	0	21314	154	0	0	0	0	660	659	0.0	0.12	1.82	2.93
berlin-0795	795	316404	1368643159	1533435	0	0	0	0	218451299	262862	0	0	0	0	795	795	0.7283333333333335	1.44	3.82	6.46
bielefeld-0246	246	302998	5125244	37426	0	0	0	0	21976	164	0	0	0	0	246	242	0.0	0.0	2.83	6.7
bremen-0835	835	318360	99946977	402307	0	0	0	0	24402818	116853	0	0	0	0	835	833	1.5373333333333334	0.13	2.42	6.49
cologne-bonn-area-0279	279	304557	51233407	183815	0	0	0	0	8111711	32458	0	0	0	0	279	221	0.536	0.09	2.93	7.46
leipzig-0210	210	302552	300251436	434943	0	0	0	0	52846064	80811	0	0	0	0	210	210	0.5703714285714285	0.14	1.66	5.33
ulm-0217	217	302660	151462794	279548	0	0	0	0	9228366	30189	0	0	0	0	217	171	0.9513821138211379	0.07	1.31	4.05
