node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	1588	300632	11598057	74687	0	0	0	0	5849944	37799	0	0	0	0	50	50	10.599200000000002	0.08	5.64	107.32
100	2148	301240	33826120	188889	0	0	0	0	16968321	94915	0	0	0	0	100	100	15.924660000000001	0.24	0.32	32.85
150	2720	301824	68940650	347640	0	0	0	0	34525023	174291	0	0	0	0	150	150	21.571059999999985	0.07	0.51	10.46
200	3297	302494	129719896	596076	0	0	0	0	64913405	298492	0	0	0	0	200	200	31.49402	0.04	1.36	4.76
250	3872	303109	192022025	833240	0	0	0	0	96066694	417086	0	0	0	0	250	250	39.073980000000034	0.18	0.79	2.3
300	4453	303857	252627229	1071622	0	0	0	0	126369918	536284	0	0	0	0	300	300	44.385959999999976	2.5	2.79	3.19
350	5106	304711	350771673	1439073	0	0	0	0	175444224	720010	0	0	0	0	350	350	52.90508571428573	0.08	0.91	2.22
400	5774	305843	493938527	1932616	0	0	0	0	247019534	966754	0	0	0	0	400	400	69.15105499999996	3.21	3.23	3.68
450	6418	306746	620027722	2391091	0	0	0	0	310070231	1196024	0	0	0	0	450	450	80.23661333333338	4.31	4.75	4.57
500	7275	307911	829609541	3026537	0	0	0	0	414861189	1513749	0	0	0	0	500	500	104.06391599999988	3.68	5.0	5.25
550	7825	309130	984484135	3674519	0	0	0	0	492299393	1837749	0	0	0	0	550	550	107.00351454545452	1.02	4.84	5.89
600	9037	310742	1206962201	4309511	0	0	0	0	603538728	2155252	0	0	0	0	600	600	129.04364333333348	3.13	5.92	6.76
650	10277	312056	1392980315	5056680	0	0	0	0	696558113	2528856	0	0	0	0	650	650	128.23754307692312	1.63	6.35	7.49
700	13388	313668	1616899018	5792600	0	0	0	0	808509165	2896799	0	0	0	0	700	700	140.67135142857154	4.99	6.21	7.31
750	13092	315487	1904686365	6685626	0	0	0	0	952401346	3343285	0	0	0	0	750	750	160.57930933333344	5.1	9.72	11.03
800	15076	317955	2115527724	7352274	0	0	0	0	1057829871	3676649	0	0	0	0	800	799	170.71321733668333	4.64	8.53	10.4
850	16144	320299	2556298668	8340349	0	0	0	0	1278211605	4170666	0	0	0	0	850	848	219.59319976359342	3.32	9.39	12.29
900	18031	322874	2793852020	9434087	0	0	0	0	1396998203	4717581	0	0	0	0	900	895	211.59147085201758	6.93	8.61	10.78
950	20380	330931	63441009449	89566171	0	0	0	0	31721962483	44784921	0	0	0	0	950	632	214.86504186795503	15.91	19.23	17.93
1000	22281	335054	36692954391	81851719	0	0	0	0	18346461002	40926007	0	0	0	0	1000	692	269.6970336257309	61.84	52.64	35.65
1050	26808	347438	44648663319	98408767	0	0	0	0	22330221565	49222318	0	0	0	0	1050	704	232.886111747851	37.76	33.7	31.68
1100	23973	338773	1055687013	4477987	0	0	0	0	527904558	2239502	0	0	0	0	1100	616	91.40309359605908	14.52	11.65	19.43
