node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	89	1592	0	29321485	88247	0	0	0	0	8586518	26294	0	0	0	0	200	198	4.211560606060606	3.63	1.13	0.77
50	62	1589	2000	43214544	119125	0	1	0	0	12525427	35262	0	0	0	0	200	198	4.187904040404038	3.15	1.11	0.77
50	57	1588	4000	39948216	111916	0	0	0	0	11372609	32579	0	0	0	0	200	200	3.9262599999999996	2.66	1.07	0.76
50	61	1589	6000	36808959	109840	0	1	0	0	10697134	32760	0	0	0	0	200	200	4.340775000000001	2.25	1.04	0.75
50	61	1590	8000	47114392	135631	0	0	0	0	13839615	40747	0	0	0	0	200	200	4.342085	1.75	0.99	0.73
50	68	1591	10000	51797565	146399	0	0	0	0	15232342	43996	0	0	0	0	200	200	4.373200000000001	1.45	0.95	0.73
50	61	1595	12000	42856049	129644	0	1	0	0	12681560	39200	0	0	0	0	200	200	4.1979700000000015	1.03	0.89	0.71
50	62	1588	14000	41139201	120528	0	0	0	0	12081977	36335	0	0	0	0	200	200	4.3107299999999995	0.9	0.87	0.71
50	67	1595	16000	43655622	132716	0	1	0	0	12925367	40202	0	0	0	0	200	200	4.333535000000002	0.64	0.81	0.69
50	66	1589	18000	41185040	128398	0	2	0	0	12096757	38702	0	0	0	0	200	200	4.34167	0.42	0.74	0.67
50	61	1590	20000	49298794	137375	0	0	0	0	14301980	41158	0	0	0	0	200	200	4.1800299999999995	0.34	0.7	0.66
50	68	1591	22000	45668666	134513	0	0	0	0	13270227	40336	0	0	0	0	200	200	4.110854999999998	0.28	0.65	0.64
50	60	1593	24000	44733872	131098	0	1	0	0	13275382	40160	0	0	0	0	200	200	4.099174999999999	0.17	0.58	0.62
50	66	1589	26000	45038718	133021	0	0	0	0	13120836	39969	0	0	0	0	200	200	4.024305000000002	0.1	0.53	0.6
50	63	1589	28000	50271790	143499	0	0	0	0	14638139	43019	0	0	0	0	200	200	4.007964999999997	0.12	0.48	0.58
50	67	1590	30000	49532629	147301	0	0	0	0	14668313	44982	0	0	0	0	200	200	4.727989999999998	0.12	0.44	0.56
50	63	1590	32000	52286385	149796	0	0	0	0	15553811	45678	0	0	0	0	200	200	4.202615	0.06	0.39	0.54
50	68	1593	34000	68484587	192695	0	0	0	0	19860808	57778	0	0	0	0	200	200	4.038984999999999	0.11	0.35	0.52
50	64	1592	36000	51898810	152150	0	0	0	0	15145672	45921	0	0	0	0	200	200	4.440989999999998	0.05	0.31	0.5
50	72	1591	38000	50192405	147613	0	0	0	0	14572483	44295	0	0	0	0	200	200	4.348465000000001	0.1	0.28	0.47
50	66	1592	40000	47313949	143662	0	2	0	0	13897325	43645	0	0	0	0	200	200	4.461474999999997	0.05	0.24	0.45
50	66	1591	42000	51468086	152143	0	0	0	0	15005313	45943	0	0	0	0	200	200	3.96572	0.1	0.22	0.43
50	62	1591	44000	52128056	154255	0	0	0	0	15608505	47572	0	0	0	0	200	200	4.406554999999999	0.12	0.2	0.41
50	64	1592	46000	51023560	148466	0	0	0	0	14966998	45262	0	0	0	0	200	200	4.323785	0.05	0.16	0.39
50	69	1591	48000	50991798	153864	0	0	0	0	15077414	47102	0	0	0	0	200	200	4.1828199999999995	0.02	0.13	0.36
50	66	1591	50000	46441160	145219	0	0	0	0	13630790	44224	0	0	0	0	200	200	4.3061700000000025	0.09	0.13	0.35
50	69	1588	52000	53854072	154391	0	0	0	0	15814375	47161	0	0	0	0	200	200	4.301774999999999	0.06	0.11	0.33
50	64	1591	54000	50199511	158400	0	3	0	0	15040304	48878	0	0	0	0	200	200	4.435070000000005	0.1	0.11	0.31
50	66	1589	56000	55158653	158980	0	1	0	0	16479733	49112	0	0	0	0	200	200	4.456295000000002	0.04	0.09	0.29
50	60	1591	58000	50272765	158688	0	1	0	0	14874991	48714	0	0	0	0	200	200	4.297819999999997	0.04	0.08	0.27
