load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.83	0.46	0.39	4	2	2	60013	0	149900	300	0	0	0	0	74950	340	0	0	0	0
0.58	0.47	0.40	9	6	6	60017	0	712588	867	0	0	0	0	257255	985	0	0	0	0
0.81	0.69	0.50	16	12	12	60009	0	1830580	1603	0	0	0	0	567840	1894	0	0	0	0
0.20	0.48	0.44	25	20	20	60005	0	4429843	3101	0	0	0	0	1290072	3477	0	0	0	0
0.09	0.35	0.40	36	30	30	60004	0	9036007	5028	0	0	0	0	2532767	5537	0	0	0	0
0.28	0.32	0.37	49	42	42	60003	1	17172880	8422	0	0	0	0	4706397	9047	0	0	0	0
0.42	0.41	0.40	64	56	56	60002	1	30575204	13834	0	0	0	0	8278068	14769	0	0	0	0
1.11	0.71	0.51	81	72	72	60002	1	47340562	20071	0	0	0	0	12494711	21440	0	0	0	0
1.73	1.16	0.72	100	90	90	60001	1	74568702	29013	0	0	0	0	19522577	30994	0	0	0	0
