load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.22	0.47	0.58	4	2	2	60016	0	1394868	4167	0	0	0	0	697434	4239	0	0	0	0
0.34	0.55	0.61	9	6	1	60017	0	7705764	14582	0	0	0	0	2686778	15184	0	0	0	0
0.77	0.64	0.63	16	12	5	60009	0	19720462	34261	0	0	0	0	6092354	35772	0	0	0	0
1.06	0.81	0.70	25	20	1	60005	0	36162922	58340	0	0	0	0	10449902	61301	0	0	0	0
2.21	1.43	0.95	36	30	3	60003	0	55934664	85275	0	0	0	0	15660168	90437	0	0	0	0
1.54	1.39	1.01	49	42	3	60002	0	80767972	119838	0	0	0	0	22286934	127247	0	0	0	0
1.49	1.54	1.13	64	56	3	60002	0	107676324	154020	0	0	0	0	29347610	167628	0	0	0	0
3.98	2.49	1.54	81	72	7	60001	0	141952844	199174	0	0	0	0	38114288	216429	0	0	0	0
3.69	2.84	1.81	100	90	5	60001	0	176312650	243368	0	0	0	0	47156396	267432	0	0	0	0
