load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
1.12	0.78	1.01	4	2	2	60039	0	189054	982	0	0	0	0	94527	1018	0	0	0	0
0.46	0.65	0.93	9	6	6	60016	0	618049	2171	0	0	0	0	230109	2328	0	0	0	0
0.12	0.44	0.81	16	12	12	60009	0	1338341	3922	0	0	0	0	443209	4182	0	0	0	0
0.07	0.30	0.70	25	20	20	60005	0	2445290	6302	0	0	0	0	759465	6666	0	0	0	0
0.06	0.21	0.61	36	30	30	60004	0	4006413	9152	0	0	0	0	1195334	9649	0	0	0	0
0.43	0.36	0.62	49	42	42	60003	1	6255176	12903	0	0	0	0	1816853	13476	0	0	0	0
0.40	0.44	0.62	64	56	56	60002	1	9270190	16966	0	0	0	0	2639729	17879	0	0	0	0
1.09	0.75	0.71	81	72	72	60002	1	13322667	21589	0	0	0	0	3732840	23050	0	0	0	0
0.96	0.98	0.82	100	90	90	60001	1	18510007	27088	0	0	0	0	5125376	29142	0	0	0	0
