time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
32103	50	0	149	149	7
65168	50	0	111	24	77
98264	50	0	121	16	146
131328	50	0	116	19	6
164421	50	0	144	19	69
197507	50	0	159	23	53
230556	50	0	154	27	45
263611	50	0	62	18	132
296673	50	0	134	25	248
329728	50	0	119	16	119
362750	50	0	51	16	12
395845	50	0	122	19	82
428891	50	0	121	81	15
461955	50	0	113	76	45
495001	50	0	114	68	45
527819	50	0	34	10	166
560845	50	0	40	11	12
593868	50	0	43	23	27
626904	50	0	142	48	129
659947	50	0	140	74	89
693028	50	0	170	30	31
726243	50	0	139	20	60
759373	50	0	145	39	85
792639	50	0	130	63	128
825902	50	0	144	19	106
858985	50	0	163	34	24
892058	50	0	150	71	175
925510	50	0	157	77	14
958575	50	0	161	25	72
992677	50	0	174	17	163
