time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
32139	50	0	128	128	5
64905	50	0	110	96	5
97969	50	0	120	26	4
131019	50	0	112	14	5
164040	50	0	129	66	50
197056	50	0	145	102	15
230114	50	0	136	106	23
263014	50	0	140	113	34
295891	50	0	130	117	31
328928	50	0	131	111	55
361992	50	0	135	94	4
394999	50	0	127	116	11
428051	50	0	133	121	15
461105	50	0	127	102	8
494077	50	0	121	103	27
527127	50	0	119	108	17
560180	50	0	118	80	10
593223	50	0	131	111	39
626315	50	0	125	49	40
659347	50	0	114	63	8
692400	50	0	130	86	89
725468	50	0	117	76	18
758524	50	0	126	30	39
791643	50	0	127	21	135
824716	50	0	135	33	32
857827	50	0	138	38	51
890879	50	0	125	40	164
923936	50	0	137	87	58
956979	50	0	142	54	35
989979	50	0	131	81	65
