time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
32073	50	0	149	149	0
64154	50	0	111	111	0
96238	50	0	121	121	0
128297	50	0	116	116	0
160378	50	0	144	144	0
192471	50	0	159	159	0
224531	50	0	154	154	0
256602	50	0	62	62	0
288678	50	0	134	134	0
320752	50	0	119	119	0
352818	50	0	51	51	0
384887	50	0	122	122	0
417002	50	0	121	121	0
449071	50	0	113	113	0
481138	50	0	114	114	0
513194	50	0	34	34	0
545250	50	0	40	40	1
577305	50	0	43	43	1
609381	50	0	142	142	0
641454	50	0	140	140	0
673570	50	0	170	170	0
705647	50	0	139	139	0
737727	50	0	145	145	0
769807	50	0	130	130	0
801883	50	0	144	144	0
833973	50	0	163	163	0
866096	50	0	150	150	0
898177	50	0	157	157	0
930256	50	0	161	161	0
962339	50	0	174	174	0
