time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
12957	50	0	128	66	20
25899	50	0	110	77	48
38987	50	0	120	54	26
52057	50	0	112	60	16
65043	50	0	129	89	23
78032	50	0	145	99	28
91064	50	0	136	108	28
104142	50	0	140	96	9
117158	50	0	130	91	14
130222	50	0	131	100	16
143208	50	0	135	87	9
156233	50	0	127	92	13
169301	50	0	133	100	12
182334	50	0	127	91	10
195375	50	0	121	92	13
208405	50	0	119	84	9
221437	50	0	118	76	12
234496	50	0	131	85	7
247530	50	0	125	74	20
260476	50	0	114	60	14
273536	50	0	130	57	9
286572	50	0	117	53	9
299606	50	0	126	58	7
313065	50	0	127	67	9
326107	50	0	135	39	3
339150	50	0	138	37	3
352167	50	0	125	33	16
365179	50	0	137	49	9
378232	50	0	142	44	15
391237	50	0	131	56	11
