time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
12048	50	0	148	0	0
25229	50	0	122	73	0
38237	50	0	129	78	0
51903	50	0	134	31	0
65081	50	0	43	24	0
78107	50	0	132	23	0
91135	50	0	139	26	0
104137	50	0	94	25	0
117147	50	0	45	35	0
130116	50	0	129	62	0
143113	50	0	123	68	0
156011	50	0	133	57	0
169098	50	0	125	64	0
182076	50	0	141	78	0
195098	50	0	159	83	0
207984	50	0	155	74	0
221133	50	0	136	42	0
234166	50	0	146	68	0
247198	50	0	149	52	0
260182	50	0	155	106	0
273215	50	0	143	58	0
286249	50	0	165	80	0
299247	50	0	159	86	0
312238	50	0	139	81	0
325271	50	0	154	70	0
338281	50	0	160	104	0
351567	50	0	159	67	0
364817	50	0	164	111	0
377852	50	0	167	88	0
390997	50	0	170	119	0
