time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
32080	50	0	148	148	0
64147	50	0	122	122	0
96236	50	0	129	129	0
128309	50	0	134	134	0
160370	50	0	43	43	1
192438	50	0	132	132	0
224508	50	0	139	139	0
256573	50	0	94	94	0
288634	50	0	45	45	0
320695	50	0	129	129	0
352769	50	0	123	123	0
384841	50	0	133	133	0
416928	50	0	125	125	0
449020	50	0	141	141	0
481096	50	0	159	159	0
513175	50	0	155	155	0
545245	50	0	136	136	0
577318	50	0	146	146	0
609393	50	0	149	149	0
641471	50	0	155	155	0
673541	50	0	143	143	0
705619	50	0	165	165	0
737700	50	0	159	159	0
769772	50	0	139	139	0
801851	50	0	154	154	0
833927	50	0	160	160	0
866004	50	0	159	159	0
898107	50	0	164	164	0
930192	50	0	167	167	0
962277	50	0	170	170	0
