node_count	traffic_ms	software_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
50	3265	19372	69408040	215860	0	0	0	0	34769584	108258	0	0	0	0	49	49	60001	0	0.26	0.27	0.51
100	7805	39272	241528928	438768	0	0	0	0	120831549	219715	0	0	0	0	99	86	60001	0	0.66	0.33	0.42
150	12581	56792	511093842	712027	0	0	0	0	255613291	356342	0	0	0	0	149	97	60000	0	0.75	0.47	0.48
200	17149	75140	870067707	1072148	0	0	0	0	435105669	536405	0	0	0	0	199	110	60001	0	0.96	0.68	0.65
250	21277	96196	1310952324	1514944	0	0	0	0	655534654	757788	0	0	0	0	249	107	60000	1	1.23	0.85	0.81
300	26121	114941	1789856822	1964508	0	0	0	0	894992758	982571	0	0	0	0	299	121	60001	0	1.55	1.24	1.06
