load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.29	0.61	0.70	4	2	2	60024	0	279636	3758	0	0	0	0	139818	1879	0	0	0	0
0.32	0.45	0.61	9	6	6	60016	0	1800370	17847	0	0	0	0	670520	6546	0	0	0	0
0.10	0.30	0.52	16	12	12	60009	0	6080494	47313	0	0	0	0	2019906	15635	0	0	0	0
0.04	0.18	0.43	25	20	20	60001	0	15462906	101317	0	0	0	0	4816858	31433	0	0	0	0
0.22	0.18	0.38	36	30	30	60003	1	32726644	184242	0	0	0	0	9788400	54806	0	0	0	0
0.41	0.28	0.37	49	42	42	60003	2	61544614	301319	0	0	0	0	17905466	87441	0	0	0	0
0.48	0.42	0.41	64	56	56	60002	2	104956770	448821	0	0	0	0	29934642	127855	0	0	0	0
0.64	0.56	0.47	81	72	72	60002	2	168321472	636234	0	0	0	0	47250362	178459	0	0	0	0
0.80	0.68	0.54	100	90	90	60001	2	255696992	867522	0	0	0	0	70877384	240374	0	0	0	0
