load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	wait_ms	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.63	0.96	0.89	4	2	2	0.0	60038	7	231274	1546	0	0	0	0	115637	773	0	0	0	0
0.75	0.93	0.89	9	6	4	0.0	60017	11	1611908	8319	0	0	0	0	581421	3011	0	0	0	0
2.30	1.46	1.09	16	12	12	0.0	60009	11	6148033	25499	0	0	0	0	1906012	7973	0	0	0	0
4.77	2.35	1.42	25	20	19	0.0	60006	19	13296308	52605	0	0	0	0	4097363	16198	0	0	0	0
2.17	2.12	1.42	36	30	28	0.0	60006	20	26254450	96313	0	0	0	0	7676029	28171	0	0	0	0
1.40	1.89	1.39	49	42	41	0.0	60003	20	42968132	145704	0	0	0	0	11499066	39400	0	0	0	0
8.03	3.78	2.09	64	56	49	0.0	60049	25	82226334	262392	0	0	0	0	21743059	69868	0	0	0	0
8.44	5.28	2.79	81	72	70	0.0	60019	28	143067736	424618	0	0	0	0	37867292	112847	0	0	0	0
2.50	4.15	2.62	100	90	87	0.0	60000	31	187441694	562402	0	0	0	0	51354118	153904	0	0	0	0
