load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	wait_ms	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.25	0.38	0.38	4	2	2	30000.0	60039	0	1051224	6370	0	29	0	0	525612	3185	0	0	0	0
0.17	0.31	0.35	9	6	1	30000.0	60017	0	5914056	33404	0	231	0	0	2049440	11615	0	0	0	0
0.13	0.27	0.34	16	12	5	30000.0	60009	0	14455184	84192	0	552	0	0	4463162	26085	0	0	0	0
0.17	0.24	0.32	25	20	1	30000.0	60006	0	26704436	154504	0	1020	0	0	7728324	44830	0	0	0	0
0.50	0.37	0.36	36	30	3	30000.0	60004	0	42063718	239705	0	1653	0	0	11793530	67351	0	0	0	0
1.35	0.73	0.49	49	42	3	30000.0	60003	0	58671506	331515	0	2416	0	0	16256602	92058	0	0	0	0
2.04	1.17	0.68	64	56	3	30000.0	60002	0	80338024	451678	0	3388	0	0	21847660	123088	0	0	0	0
2.25	1.56	0.88	81	72	7	30000.0	60001	0	106757054	599416	0	4544	0	0	28833208	162209	0	0	0	0
2.86	2.03	1.14	100	90	5	30000.0	60002	0	137779706	767847	0	5622	0	0	36779484	205390	0	0	0	0
