load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	wait_ms	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.39	0.92	0.89	4	2	2	30000.0	60038	2	344680	2229	0	0	0	0	172383	1115	0	0	0	0
0.21	0.70	0.81	9	6	5	30000.0	60016	8	2441735	11928	0	0	0	0	876438	4293	0	0	0	0
0.56	0.65	0.78	16	12	12	30000.0	60009	10	7186322	31118	0	0	0	0	2397028	10382	0	0	0	0
0.83	0.70	0.78	25	20	20	30000.0	60006	16	16558214	64625	0	0	0	0	4853586	19138	0	0	0	0
1.77	1.05	0.90	36	30	30	30000.0	60004	14	33463101	120185	0	0	0	0	9755250	35168	0	0	0	0
0.67	0.93	0.88	49	42	40	30000.0	60003	20	55745405	196477	0	0	0	0	15356116	54343	0	0	0	0
3.11	1.82	1.21	64	56	55	30000.0	60002	26	87453074	288749	0	0	0	0	23546040	78184	0	0	0	0
1.02	1.53	1.18	81	72	71	30000.0	60002	30	134402974	440177	0	0	0	0	35567226	117103	0	0	0	0
2.79	1.97	1.38	100	90	89	30000.0	60002	36	189754944	561144	0	0	0	0	49801029	148268	0	0	0	0
