name	node_count 	sample_count	duration_sec	packets_send	packets_received	sample_duration_ms	rtt_avg_ms	rx_bytes_per_sec
grid4	225	300	60	150	114	60000	41	19459.68
grid4	225	300	60	150	119	60001	21	19682.00
grid4	225	300	60	150	119	60000	22	19023.82
grid4	225	300	60	150	117	60000	17	19586.23
grid4	225	300	60	150	119	60000	13	19577.55
grid4	225	300	60	150	120	60000	22	20632.34
grid4	225	300	60	150	110	60001	13	17060.85
grid4	225	300	60	150	115	60001	18	17498.36
grid4	225	300	60	150	109	60001	22	16406.53
grid4	225	300	60	150	106	60000	9	15868.32
grid4	256	300	60	150	78	60000	11	12134.28
grid4	256	300	60	150	86	60000	11	15252.96
grid4	256	300	60	150	94	60000	17	16445.14
grid4	256	300	60	150	89	60000	23	15930.50
grid4	256	300	60	150	93	60001	16	15999.53
grid4	256	300	60	150	92	60001	24	17376.15
grid4	256	300	60	150	88	60001	18	15671.39
grid4	256	300	60	150	96	60000	25	17666.21
grid4	256	300	60	150	90	60000	15	16483.50
grid4	256	300	60	150	87	60001	17	16162.31
grid4	289	300	60	150	74	60007	21	13289.17
grid4	289	300	60	150	67	60000	19	12252.05
grid4	289	300	60	150	65	60001	17	12848.69
grid4	289	300	60	150	72	60000	25	13285.05
grid4	289	300	60	150	66	60000	17	12210.81
grid4	289	300	60	150	78	60000	17	14496.08
grid4	289	300	60	150	74	60001	17	13887.68
grid4	289	300	60	150	72	60000	17	12942.00
grid4	289	300	60	150	66	60000	10	12176.33
grid4	289	300	60	150	64	60014	18	12250.56
grid4	324	300	60	150	59	60000	47	11018.80
grid4	324	300	60	150	54	60000	11	9090.97
grid4	324	300	60	150	63	60001	33	10667.52
grid4	324	300	60	150	63	60006	23	11311.10
grid4	324	300	60	150	54	60001	15	9517.51
grid4	324	300	60	150	60	60000	30	10946.90
grid4	324	300	60	150	59	60000	14	10429.53
grid4	324	300	60	150	61	60014	36	11591.39
grid4	324	300	60	150	60	60001	15	10329.61
grid4	324	300	60	150	59	60000	23	11191.95
grid4	361	300	60	150	46	60000	19	7846.27
grid4	361	300	60	150	54	60000	28	9325.80
grid4	361	300	60	150	49	60001	35	8342.32
grid4	361	300	60	150	45	60000	20	7990.42
grid4	361	300	60	150	46	60000	39	8654.18
grid4	361	300	60	150	49	60000	29	9047.81
grid4	361	300	60	150	45	60000	45	8440.69
grid4	361	300	60	150	48	60000	38	8058.49
grid4	361	300	60	150	43	60000	31	6802.78
grid4	361	300	60	150	46	60000	42	7599.73
grid4	400	300	60	150	23	60000	15	4879.68
grid4	400	300	60	150	27	60001	70	5596.02
grid4	400	300	60	150	24	60000	60	4597.46
grid4	400	300	60	150	28	60004	32	5502.44
grid4	400	300	60	150	23	60014	17	5647.79
grid4	400	300	60	150	25	60021	29	4278.16
grid4	400	300	60	150	19	60000	67	4689.49
grid4	400	300	60	150	21	60000	14	5204.92
grid4	400	300	60	150	25	60000	26	5831.90
grid4	400	300	60	150	25	60018	50	5890.75
grid4	441	300	60	150	23	60038	88	5275.91
grid4	441	300	60	150	24	60000	33	4593.22
grid4	441	300	60	150	20	60000	44	4028.40
grid4	441	300	60	150	20	60001	70	4621.98
grid4	441	300	60	150	22	60000	32	4374.91
grid4	441	300	60	150	21	60001	59	3725.39
grid4	441	300	60	150	21	60007	22	4295.35
grid4	441	300	60	150	18	60006	52	4463.34
grid4	441	300	60	150	24	60000	104	4843.55
grid4	441	300	60	150	19	60001	28	4508.86
grid4	484	300	60	150	18	60000	103	3556.90
grid4	484	300	60	150	18	60001	49	3212.35
grid4	484	300	60	150	19	60000	44	2737.03
grid4	484	300	60	150	16	60034	79	3339.66
grid4	484	300	60	150	20	60005	84	3794.17
grid4	484	300	60	150	20	60006	62	3583.29
grid4	484	300	60	150	20	60009	42	3628.00
grid4	484	300	60	150	20	60005	102	3665.57
grid4	484	300	60	150	20	60000	85	3480.77
grid4	484	300	60	150	19	60012	75	3277.43
grid4	529	300	60	150	8	60005	142	2574.66
grid4	529	300	60	150	5	60001	95	2141.23
grid4	529	300	60	150	7	60021	65	2487.71
grid4	529	300	60	150	8	60000	105	2415.22
grid4	529	300	60	150	9	60021	131	2418.75
grid4	529	300	60	150	8	60001	94	2675.74
grid4	529	300	60	150	7	60020	152	2245.97
grid4	529	300	60	150	8	60002	270	2765.26
grid4	529	300	60	150	10	60006	104	2358.71
grid4	529	300	60	150	12	60000	108	2446.01
grid4	576	300	60	150	4	60001	21	1761.20
grid4	576	300	60	150	4	60000	222	1514.38
grid4	576	300	60	150	4	60002	166	2057.50
grid4	576	300	60	150	3	60000	91	1872.07
grid4	576	300	60	150	4	60000	19	1716.29
grid4	576	300	60	150	4	60000	42	1659.62
grid4	576	300	60	150	4	60001	100	1732.92
grid4	576	300	60	150	4	60001	23	1982.50
grid4	576	300	60	150	5	60000	280	2103.22
grid4	576	300	60	150	5	60000	224	1681.49
grid4	625	300	60	150	4	60000	29	1300.05
grid4	625	300	60	150	5	60001	192	1500.71
grid4	625	300	60	150	6	60000	32	1443.57
grid4	625	300	60	150	7	60000	170	1540.75
grid4	625	300	60	150	5	60000	196	1476.70
grid4	625	300	60	150	5	60011	72	1633.61
grid4	625	300	60	150	6	60000	189	1350.23
grid4	625	300	60	150	7	60000	185	1489.05
grid4	625	300	60	150	7	60001	111	1402.52
grid4	625	300	60	150	8	60040	225	1704.44
grid4	676	300	60	150	8	60002	220	1050.38
grid4	676	300	60	150	10	60000	41	1189.28
grid4	676	300	60	150	10	60001	138	1101.62
grid4	676	300	60	150	10	60000	88	1121.79
grid4	676	300	60	150	9	60001	63	1175.77
grid4	676	300	60	150	8	60000	68	1034.55
grid4	676	300	60	150	11	60001	137	1191.02
grid4	676	300	60	150	6	60018	88	1096.89
grid4	676	300	60	150	10	60000	40	1134.60
grid4	676	300	60	150	9	60001	78	1135.15
grid4	729	300	60	150	3	60000	30	805.33
grid4	729	300	60	150	2	60015	23	692.56
grid4	729	300	60	150	2	60006	22	878.46
grid4	729	300	60	150	1	60000	8	861.81
grid4	729	300	60	150	3	60001	31	917.71
grid4	729	300	60	150	4	60001	241	933.55
grid4	729	300	60	150	2	60001	25	850.25
grid4	729	300	60	150	2	60032	45	899.19
grid4	729	300	60	150	3	60003	28	858.15
grid4	729	300	60	150	2	60000	25	848.25
grid4	784	300	60	150	4	60000	48	738.54
grid4	784	300	60	150	1	60042	29	763.26
grid4	784	300	60	150	4	60003	44	779.80
grid4	784	300	60	150	3	60009	40	824.93
grid4	784	300	60	150	3	60000	47	745.74
grid4	784	300	60	150	4	60000	45	760.66
grid4	784	300	60	150	2	60000	37	585.91
grid4	784	300	60	150	2	60000	36	611.10
grid4	784	300	60	150	4	60004	47	836.98
grid4	784	300	60	150	3	60000	38	681.55
grid4	841	300	60	150	5	60045	200	681.13
grid4	841	300	60	150	4	60007	106	611.67
grid4	841	300	60	150	4	60000	35	531.96
grid4	841	300	60	150	3	60013	30	660.94
grid4	841	300	60	150	4	60001	34	673.74
grid4	841	300	60	150	3	60044	81	658.83
grid4	841	300	60	150	4	60000	40	650.05
grid4	841	300	60	150	4	60009	34	743.40
grid4	841	300	60	150	3	60067	36	499.65
grid4	841	300	60	150	4	60000	40	607.63
grid4	900	300	60	150	3	60000	27	342.53
grid4	900	300	60	150	2	60000	161	469.42
grid4	900	300	60	150	3	60000	50	407.42
grid4	900	300	60	150	2	60000	35	526.01
grid4	900	300	60	150	3	60004	27	499.19
grid4	900	300	60	150	4	60001	44	561.71
grid4	900	300	60	150	3	60000	28	492.50
grid4	900	300	60	150	4	60001	45	509.13
grid4	900	300	60	150	3	60000	26	467.07
grid4	900	300	60	150	4	60000	44	512.30
grid4	961	300	60	150	3	60001	77	406.30
grid4	961	300	60	150	3	60000	78	385.36
grid4	961	300	60	150	3	60069	76	377.99
grid4	961	300	60	150	3	60001	79	432.54
grid4	961	300	60	150	2	60000	97	460.34
grid4	961	300	60	150	3	60001	79	427.30
grid4	961	300	60	150	3	60001	77	425.95
grid4	961	300	60	150	3	60000	81	346.48
grid4	961	300	60	150	3	60000	83	405.48
grid4	961	300	60	150	3	60000	83	399.12
grid4	1024	300	60	150	1	60000	110	264.92
grid4	1024	300	60	150	1	60001	112	279.02
grid4	1024	300	60	150	1	60000	38	335.78
grid4	1024	300	60	150	1	60000	106	309.96
grid4	1024	300	60	150	1	60001	120	321.55
grid4	1024	300	60	150	2	60000	86	320.21
grid4	1024	300	60	150	1	60001	111	314.91
grid4	1024	300	60	150	1	60001	115	339.03
grid4	1024	300	60	150	1	60000	119	267.68
grid4	1024	300	60	150	1	60007	110	367.10
