load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	wait_ms	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.86	1.78	1.35	4	2	2	60000.0	60009	0	41624	368	0	2	0	0	20962	185	0	0	0	0
1.01	1.51	1.31	9	6	6	60000.0	60006	0	173086	1289	0	0	0	0	63702	473	0	0	0	0
0.83	1.29	1.25	16	12	12	60000.0	60009	0	443905	2761	0	0	0	0	146026	902	0	0	0	0
0.76	1.08	1.17	25	20	20	60000.0	60002	0	961686	5276	0	0	0	0	297032	1617	0	0	0	0
0.67	0.91	1.09	36	30	30	60000.0	60003	0	1859519	8612	0	0	0	0	552296	2542	0	0	0	0
0.63	0.88	1.06	49	42	42	60000.0	60002	0	3316554	14881	0	0	0	0	961396	4288	0	0	0	0
0.51	0.78	0.99	64	56	56	60000.0	60002	0	5280569	21005	0	0	0	0	1502039	5943	0	0	0	0
0.19	0.62	0.90	81	72	72	60000.0	60001	0	8109636	29062	0	0	0	0	2269645	8083	0	0	0	0
0.41	0.62	0.87	100	90	90	60000.0	60001	1	12137468	40530	0	6	0	0	3362708	11159	0	0	0	0
