load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	wait_ms	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.25	0.18	0.11	25	20	20	60000	60006	0	13308358	111469	0	0	0	0	4132940	34388	0	0	0	0
0.12	0.16	0.11	25	20	20	60000	60006	0	13362530	111943	0	0	0	0	4144368	34518	0	0	0	0
0.11	0.15	0.11	25	20	20	60000	60006	0	13334302	111977	0	0	0	0	4138738	34613	0	0	0	0
0.04	0.12	0.10	25	20	20	60000	60006	0	13406594	112341	0	0	0	0	4161512	34686	0	0	0	0
0.03	0.11	0.09	25	20	20	60000	60004	0	13350538	111921	0	0	0	0	4145784	34584	0	0	0	0
0.24	0.26	0.17	36	30	30	60000	60004	0	27866036	192194	0	0	0	0	8309214	57103	0	0	0	0
0.10	0.22	0.17	36	30	30	60000	60004	0	27990724	192982	0	0	0	0	8340942	57249	0	0	0	0
0.26	0.22	0.18	36	30	30	60000	60004	0	27843836	193092	0	0	0	0	8305522	57405	0	0	0	0
0.07	0.19	0.17	36	30	30	60000	60003	0	28051150	193733	0	0	0	0	8362506	57603	0	0	0	0
0.17	0.20	0.18	36	30	30	60000	60004	0	27968192	191736	0	0	0	0	8341844	57018	0	0	0	0
0.08	0.18	0.17	36	30	30	60000	60004	0	27857982	192061	0	0	0	0	8310900	57058	0	0	0	0
0.04	0.15	0.16	36	30	30	60000	60004	0	27901352	193032	0	0	0	0	8323518	57389	0	0	0	0
0.27	0.19	0.18	36	30	30	60000	60004	0	27995982	193999	0	0	0	0	8351872	57646	0	0	0	0
0.16	0.19	0.18	36	30	30	60000	60004	0	28056614	194119	0	0	0	0	8365858	57685	0	0	0	0
0.13	0.17	0.17	36	30	30	60000	60004	0	27993454	194779	0	0	0	0	8345442	57847	0	0	0	0
0.14	0.32	0.25	49	42	42	60000	60003	0	52183306	303261	0	0	0	0	15132740	87678	0	0	0	0
0.18	0.29	0.25	49	42	42	60000	60003	0	52467058	300223	0	0	0	0	15218570	86885	0	0	0	0
0.14	0.24	0.24	49	42	42	60000	60003	0	51913458	300489	0	0	0	0	15063544	87004	0	0	0	0
0.05	0.19	0.23	49	42	42	60000	60003	0	52346692	302712	0	0	0	0	15186778	87615	0	0	0	0
0.12	0.21	0.23	49	42	42	60000	60003	0	52018126	300617	0	0	0	0	15097022	87071	0	0	0	0
0.18	0.21	0.23	49	42	42	60000	60002	0	52246792	301318	0	0	0	0	15158724	87254	0	0	0	0
0.29	0.25	0.25	49	42	42	60000	60003	0	52131660	301898	0	0	0	0	15121442	87431	0	0	0	0
0.07	0.21	0.24	49	42	42	60000	60003	0	52111144	299728	0	0	0	0	15118942	86779	0	0	0	0
0.30	0.25	0.25	49	42	42	60000	60002	0	52253870	300157	0	0	0	0	15157940	86898	0	0	0	0
0.27	0.29	0.27	49	42	42	60000	60003	0	52046716	302074	0	0	0	0	15101940	87484	0	0	0	0
0.22	0.43	0.36	64	56	56	60000	60003	1	90449476	445348	0	0	0	0	25726122	126505	0	0	0	0
0.24	0.37	0.35	64	56	56	60000	60002	1	89711858	442135	0	0	0	0	25513134	125517	0	0	0	0
0.37	0.39	0.36	64	56	56	60000	60002	1	90444498	445105	0	0	0	0	25711940	126360	0	0	0	0
0.26	0.35	0.35	64	56	56	60000	60002	1	90101344	443298	0	0	0	0	25619740	125894	0	0	0	0
0.15	0.29	0.33	64	56	56	60000	60002	1	90046326	444227	0	0	0	0	25601762	126157	0	0	0	0
0.24	0.29	0.33	64	56	56	60000	60002	1	90065126	445707	0	0	0	0	25616732	126554	0	0	0	0
0.30	0.33	0.35	64	56	56	60000	60002	1	89593326	440291	0	0	0	0	25472868	124986	0	0	0	0
0.19	0.30	0.33	64	56	56	60000	60002	1	90038668	445046	0	0	0	0	25598022	126289	0	0	0	0
0.12	0.27	0.32	64	56	56	60000	60003	1	89949068	443062	0	0	0	0	25573648	125784	0	0	0	0
0.21	0.27	0.32	64	56	56	60000	60002	1	90194380	444888	0	0	0	0	25641168	126220	0	0	0	0
0.29	0.48	0.43	81	72	72	60000	60002	1	146027848	616646	0	0	0	0	40891800	172570	0	0	0	0
0.23	0.41	0.42	81	72	72	60000	60001	1	145937252	614660	0	0	0	0	40875102	172087	0	0	0	0
0.38	0.41	0.42	81	72	72	60000	60001	1	145797140	615074	0	0	0	0	40833622	172129	0	0	0	0
0.23	0.39	0.42	81	72	72	60000	60002	1	146157464	614402	0	0	0	0	40930094	171999	0	0	0	0
0.31	0.38	0.42	81	72	72	60000	60002	1	145530874	613919	0	0	0	0	40753866	171785	0	0	0	0
0.26	0.36	0.41	81	72	72	60000	60002	1	145728804	615516	0	0	0	0	40811626	172267	0	0	0	0
0.33	0.38	0.42	81	72	72	60000	60001	1	145729956	615018	0	0	0	0	40827212	172194	0	0	0	0
0.17	0.33	0.40	81	72	72	60000	60002	1	145884442	613871	0	0	0	0	40849200	171742	0	0	0	0
0.18	0.31	0.38	81	72	72	60000	60002	1	145252736	612402	0	0	0	0	40676194	171375	0	0	0	0
