node_count	time_ms	packets_send	packets_received	rtt_avg_ms
50	14986	200	158	0.2450822784810127
50	29080	200	200	0.186485
50	43174	200	198	0.1792121212121213
50	57263	200	200	0.1728999999999999
50	71350	200	198	0.19012121212121214
50	86202	200	183	0.20171038251366114
50	100297	200	200	0.18610000000000004
50	114390	200	200	0.19165999999999994
50	128486	200	200	0.17528500000000008
50	142576	200	200	0.16692000000000004
50	156671	200	199	0.17132499999999998
50	170765	200	200	0.18061499999999994
50	184858	200	200	0.17423
50	198955	200	200	0.17107000000000003
50	213046	200	200	0.12847999999999993
50	227141	200	200	0.128785
50	241234	200	200	0.13252500000000006
50	255332	200	200	0.18436999999999995
50	269425	200	200	0.17222500000000007
50	283515	200	200	0.19033000000000005
50	297602	200	200	0.19359499999999985
50	311695	200	200	0.1850499999999999
50	325787	200	200	0.18392000000000003
50	339882	200	200	0.19777499999999995
50	353978	200	200	0.18658500000000014
50	368069	200	200	0.20001999999999995
50	382159	200	200	0.19181999999999996
50	396246	200	200	0.18809999999999996
50	410342	200	200	0.19542000000000012
50	424435	200	200	0.18171999999999996
