node_count	time_ms	packets_send	packets_received	rtt_avg_ms
50	34819	200	197	1.3094873096446695
50	68908	200	200	0.9756499999999995
50	102998	200	200	0.8712549999999998
50	137091	200	200	0.8358199999999997
50	172165	200	198	0.922984848484849
50	206260	200	200	0.9086949999999996
50	240345	200	200	0.9325000000000004
50	275230	200	196	0.9659948979591843
50	309313	200	200	0.8305800000000005
50	343409	200	199	0.8050552763819093
50	377513	200	200	0.8895000000000004
50	411596	200	200	0.7724299999999998
50	445705	200	200	0.7987050000000001
50	479792	200	200	0.8310849999999997
50	513882	200	200	0.8825750000000001
50	547983	200	199	0.7963718592964819
50	582094	200	200	0.7923850000000006
50	616184	200	200	0.8245149999999994
50	650273	200	200	0.66571
50	684362	200	200	0.7360500000000002
50	718455	200	200	0.6778699999999998
50	752549	200	200	0.778725
50	787049	200	197	0.8703756345177667
50	821138	200	200	0.9085050000000003
50	855230	200	200	0.883335
50	889314	200	200	0.8435350000000001
50	923400	200	200	0.9231750000000004
50	957484	200	200	0.9408899999999992
50	992290	200	192	1.0077864583333334
50	1026384	200	200	0.9313449999999999
