node_count	time_ms	packets_send	packets_received	rtt_avg_ms
50	35081	200	59	168.15533333333326
50	70144	200	172	15.706063953488371
50	105236	200	167	25.6891976047904
50	140291	200	191	7.032125654450261
50	175286	200	158	6.0868734177215185
50	210325	200	141	16.20300709219858
50	245374	200	135	5.3596814814814815
50	280435	200	169	5.836733727810651
50	315505	200	175	6.003828571428573
50	350598	200	143	3.286930069930071
50	385659	200	160	9.749037500000002
50	420741	200	136	4.062044117647059
50	455816	200	127	3.8639527559055127
50	490889	200	143	3.841776223776223
50	525970	200	140	2.313049999999999
50	561012	200	131	1.4912977099236637
50	596105	200	135	1.8176962962962961
50	631160	200	136	19.195110294117654
50	666215	200	156	11.433923076923078
50	701276	200	107	20.562252336448594
50	736363	200	116	10.727290598290601
50	771444	200	128	6.161976562500003
50	806525	200	109	8.491825688073392
50	841595	200	95	10.509926315789475
50	876618	200	104	8.673576923076924
50	911699	200	90	8.759311111111108
50	946795	200	92	5.577728260869565
50	981877	200	79	7.80073417721519
50	1017411	200	72	9.108180555555554
50	1052501	200	75	5.887959999999999
