node_count	time_ms	packets_send	packets_received	rtt_avg_ms
50	15081	200	0	0.0
50	30156	200	22	673.3783181818181
50	44725	200	198	0.7703080808080808
50	58816	200	200	0.7669300000000007
50	73828	200	178	0.8275337078651684
50	87920	200	200	0.6893050000000001
50	102990	200	172	0.7164651162790697
50	117488	200	190	0.7455105263157893
50	132567	200	170	0.7020058823529411
50	147600	200	169	0.7921775147928993
50	162579	200	150	6.291231788079471
50	177178	200	186	0.8484032258064514
50	192250	200	189	4.89073544973545
50	206788	200	196	0.775632653061225
50	221869	200	178	0.8269719101123603
50	236380	200	194	0.6891692307692306
50	251255	200	198	0.8010808080808083
50	266232	200	178	0.8093707865168538
50	280767	200	199	0.7116582914572862
50	295607	200	197	0.6453484848484847
50	310678	200	180	0.7315277777777779
50	325762	200	102	0.5472156862745097
50	340716	200	192	0.6840520833333338
50	355689	200	185	2.677378378378378
50	369781	200	199	0.6579798994974877
50	384092	200	189	0.7386878306878306
50	398186	200	197	0.6899595959595962
50	413041	200	193	0.7354974093264252
50	427132	200	200	0.763995
50	442204	200	170	0.7427705882352944
