node_count	time_ms	packets_send	packets_received	rtt_avg_ms
50	15076	200	19	0.17123809523809522
50	30028	200	185	0.16255376344086028
50	45032	200	171	0.15126744186046506
50	60089	200	152	0.15713725490196084
50	75255	200	139	0.17264028776978424
50	89845	200	193	0.15695854922279792
50	104911	200	91	0.14332291666666672
50	120431	200	137	0.14227007299270084
50	135514	200	92	0.1332688172043011
50	150575	200	146	0.16908219178082198
50	165626	200	112	0.13009821428571428
50	180697	200	166	0.19118072289156615
50	195765	200	146	0.17028571428571423
50	211187	200	149	0.1579866666666666
50	226453	200	122	0.16186065573770483
50	241534	200	165	0.16213333333333332
50	256586	200	149	0.1787631578947368
50	271668	200	99	0.1515151515151515
50	286730	200	167	0.1624790419161676
50	301879	200	128	0.14279687499999996
50	316959	200	114	0.1486315789473684
50	332042	200	80	0.13558750000000003
50	346870	200	169	0.18504678362573085
50	362066	200	109	0.17672727272727268
50	377127	200	132	0.162421052631579
50	392146	200	147	0.16912925170068027
50	407150	200	183	0.16366304347826088
50	422422	200	138	0.1463840579710144
50	437421	200	179	0.16052777777777777
50	452490	200	134	0.16508208955223885
