node_count	time_ms	packets_send	packets_received	rtt_avg_ms
50	15087	200	39	0.26965
50	30170	200	39	0.21141025641025643
50	45251	200	47	0.1732127659574468
50	60320	200	49	0.21853999999999998
50	76074	200	57	0.23307017543859657
50	91146	200	74	0.1770540540540541
50	106232	200	76	0.21744155844155857
50	121317	200	64	0.21566153846153846
50	136597	200	88	0.2323516483516484
50	151677	200	58	0.17870689655172417
50	166759	200	64	0.188923076923077
50	181843	200	71	0.19297222222222218
50	196925	200	59	0.18913559322033885
50	211988	200	52	0.1892909090909091
50	227054	200	29	0.22562068965517246
50	242134	200	95	0.18925773195876283
50	257615	200	98	0.19091836734693876
50	272697	200	26	0.16330769230769232
50	287773	200	97	0.18674226804123717
50	303594	200	73	0.1931973684210527
50	318991	200	148	0.19055921052631566
50	334078	200	56	0.1683571428571429
50	349677	200	73	0.17371621621621616
50	364852	200	87	0.19704545454545455
50	379931	200	48	0.1805
50	394996	200	113	0.19799122807017544
50	410077	200	75	0.18276249999999997
50	425141	200	67	0.18585714285714283
50	440200	200	55	0.19446551724137934
50	455283	200	116	0.2359655172413792
