time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
35059	50	148	200	55	4009	100
68331	50	143	200	121	2213	17
101534	50	148	200	120	2208	14
134739	50	141	200	125	2124	9
167911	50	155	200	129	2120	8
200960	50	167	200	149	2001	11
234129	50	156	200	139	2107	9
267196	50	167	200	137	2010	5
300332	50	153	200	130	2065	8
333424	50	153	200	120	2014	6
366528	50	158	200	123	2016	14
399601	50	153	200	125	2008	7
432624	50	158	200	127	2008	8
465736	50	156	200	126	2015	6
498809	50	154	200	123	2004	5
532023	50	151	200	132	2131	7
565107	50	143	200	116	2005	5
598164	50	157	200	121	2001	5
631358	50	150	200	110	2093	4
664449	50	141	200	93	2003	5
697870	50	153	200	105	2305	6
731652	50	150	200	99	2689	6
766908	50	152	200	94	4202	6
800051	50	151	200	98	2057	4
834976	50	160	200	72	3661	7
868123	50	163	200	72	2020	4
902083	50	155	200	79	2898	6
935176	50	159	200	78	2026	5
968312	50	173	200	86	2043	4
1001347	50	149	200	89	2009	7
