time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
13176	50	169	200	84	2129	117
26234	50	143	200	67	2007	37
40261	50	149	200	66	2957	74
54002	50	142	200	64	2011	46
68015	50	173	200	57	2953	24
81538	50	180	200	75	2446	27
94706	50	174	200	82	2119	33
107812	50	90	200	49	2043	1
120945	50	155	200	46	2070	12
134133	50	140	200	46	2135	2
147828	50	75	200	40	2006	0
161194	50	141	200	50	2310	53
174403	50	144	200	55	2157	41
187758	50	143	200	67	2247	26
201070	50	143	200	71	2264	31
214317	50	65	200	42	2201	1
227438	50	66	200	40	2060	1
240757	50	70	200	41	2128	6
253998	50	165	200	52	2189	17
267401	50	160	200	45	2349	44
280780	50	192	200	65	2320	56
294074	50	164	200	59	2240	20
307409	50	174	200	65	2271	32
320494	50	151	200	46	2028	39
334445	50	168	200	52	2900	27
349288	50	191	200	54	3764	6
363137	50	180	200	54	2765	31
377086	50	182	200	50	2896	10
390727	50	189	200	49	2567	7
403839	50	193	200	52	2051	31
