time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
33062	50	169	200	20	2000	0
66119	50	143	200	32	2000	0
99188	50	149	200	28	2000	0
132247	50	142	200	26	2000	0
165314	50	173	200	29	2000	0
198381	50	180	200	21	2000	0
231447	50	174	200	20	2000	0
264495	50	90	200	28	2000	0
297564	50	155	200	21	2000	0
330629	50	140	200	21	2000	0
363686	50	75	200	24	2000	0
396752	50	141	200	19	2000	0
429807	50	144	200	23	2001	0
463041	50	143	200	30	2000	0
496099	50	143	200	29	2000	0
529157	50	65	200	31	2000	0
562214	50	66	200	26	2001	0
595274	50	70	200	27	2000	0
628340	50	165	200	23	2000	0
661408	50	160	200	20	2000	0
694478	50	192	200	22	2000	0
727546	50	164	200	25	2001	0
760770	50	174	200	29	2001	0
793810	50	151	200	21	2000	0
826868	50	168	200	24	2000	0
859939	50	191	200	28	2000	0
893124	50	180	200	30	2001	0
926191	50	182	200	25	2000	0
959255	50	189	200	28	2000	0
992325	50	193	200	19	2000	0
