time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
32100	50	0	148	148	0
64201	50	0	122	122	0
96290	50	0	129	129	0
128370	50	0	134	134	0
160438	50	0	43	43	1
192498	50	0	132	132	0
224572	50	0	139	139	0
256671	50	0	94	94	0
288738	50	0	45	45	0
320816	50	0	129	129	0
352910	50	0	123	123	0
385012	50	0	133	133	0
417115	50	0	125	125	0
449188	50	0	141	141	0
481279	50	0	159	159	0
513342	50	0	155	155	0
545417	50	0	136	136	0
577479	50	0	146	146	0
609549	50	0	149	149	0
641640	50	0	155	155	0
673697	50	0	143	143	0
705797	50	0	165	165	0
737881	50	0	159	159	0
769958	50	0	139	139	0
802059	50	0	154	154	0
834126	50	0	160	160	0
866201	50	0	159	159	0
898279	50	0	164	164	0
930359	50	0	167	167	0
962445	50	0	170	170	0
