time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
13021	50	169	200	21	2000	0
26041	50	150	200	28	2000	0
39077	50	157	200	28	2000	0
52101	50	157	200	23	2000	0
65138	50	73	200	30	2000	0
78168	50	153	200	21	2000	0
91197	50	161	200	22	2001	0
104223	50	129	200	35	2001	0
117255	50	64	200	19	2000	0
130281	50	155	200	26	2000	0
144132	50	147	200	24	2000	0
157171	50	158	200	25	2000	0
170200	50	150	200	25	2000	0
183224	50	171	200	30	2000	0
196250	50	182	200	23	2000	0
209281	50	182	200	27	2000	0
222324	50	161	200	25	2000	0
235365	50	171	200	25	2006	0
248395	50	171	200	22	2000	0
261426	50	175	200	20	2000	0
274459	50	165	200	22	2000	0
287487	50	188	200	23	2000	0
300501	50	186	200	27	2001	0
313528	50	162	200	23	2000	0
326559	50	186	200	32	2000	0
339592	50	188	200	28	2000	0
352841	50	192	200	33	2001	0
365865	50	191	200	27	2000	0
378892	50	189	200	22	2000	0
391921	50	193	200	23	2000	0
