time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
33018	50	169	200	169	2000	0
66041	50	143	200	140	2000	0
98979	50	149	200	149	2001	0
132003	50	142	200	138	2000	0
165024	50	173	200	173	2000	0
197833	50	180	200	180	2000	0
230774	50	174	200	174	2000	0
263553	50	90	200	90	2000	0
296568	50	155	200	139	2000	0
329571	50	140	200	140	2000	0
362527	50	75	200	75	2000	0
395540	50	141	200	138	2000	0
428525	50	144	200	144	2000	0
461554	50	143	200	143	2000	0
494627	50	143	200	143	2000	0
527642	50	65	200	65	2000	0
560656	50	66	200	66	2000	0
593677	50	70	200	70	2000	0
626664	50	165	200	165	2000	0
659655	50	160	200	159	2000	0
692679	50	192	200	188	2000	0
724755	50	164	200	164	2000	0
756824	50	174	200	174	2000	0
788878	50	151	200	151	2001	0
821890	50	168	200	168	2000	0
854510	50	191	200	191	2001	0
886737	50	180	200	180	2000	0
919272	50	182	200	179	2000	0
952200	50	189	200	185	2000	0
985205	50	193	200	163	2000	0
