time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
13032	50	0	148	57	0
25074	50	0	122	122	0
38040	50	0	129	91	0
51241	50	0	134	92	0
63267	50	0	43	42	0
76520	50	0	132	93	0
89547	50	0	139	131	0
102296	50	0	94	51	0
114320	50	0	45	45	0
127332	50	0	129	75	0
139376	50	0	123	123	0
152350	50	0	133	83	0
164393	50	0	125	125	0
177642	50	0	141	117	0
190578	50	0	159	148	0
203615	50	0	155	118	0
216640	50	0	136	77	0
228690	50	0	146	146	0
241679	50	0	149	98	0
253733	50	0	155	155	0
266352	50	0	143	120	0
278406	50	0	165	157	0
290631	50	0	159	155	0
303032	50	0	139	124	0
315087	50	0	154	154	0
327518	50	0	160	134	0
339562	50	0	159	159	0
351957	50	0	164	140	0
364014	50	0	167	167	0
376863	50	0	170	158	0
