time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
32083	50	148	200	148	2000	0
64165	50	143	200	143	2000	0
96248	50	148	200	148	2000	0
128334	50	141	200	141	2000	0
160421	50	155	200	154	2000	0
192508	50	167	200	167	2000	0
224594	50	156	200	156	2001	0
256679	50	167	200	167	2000	0
288769	50	153	200	153	2000	0
320855	50	153	200	153	2000	0
352940	50	158	200	158	2000	0
385027	50	153	200	153	2001	0
417113	50	158	200	158	2000	0
449202	50	156	200	156	2000	0
481289	50	154	200	154	2000	0
513376	50	151	200	151	2000	0
545460	50	143	200	143	2001	0
577548	50	157	200	157	2000	0
609630	50	150	200	150	2000	0
641717	50	141	200	141	2001	0
673804	50	153	200	153	2000	0
705891	50	150	200	150	2001	0
737980	50	152	200	152	2000	0
770077	50	151	200	151	2009	0
802166	50	160	200	160	2000	0
834252	50	163	200	163	2000	0
866336	50	155	200	155	2000	0
898422	50	159	200	159	2000	0
930510	50	173	200	173	2000	0
962595	50	149	200	149	2000	0
