time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
13025	50	169	200	117	2000	6
26068	50	150	200	34	2000	3
39280	50	157	200	17	2001	3
52331	50	157	200	13	2000	4
66179	50	73	200	25	2000	4
79223	50	153	200	18	2000	3
92269	50	161	200	10	2000	2
105318	50	129	200	22	2000	2
118373	50	64	200	13	2000	2
131454	50	155	200	12	2000	5
144554	50	147	200	8	2000	3
157603	50	158	200	16	2000	2
170650	50	150	200	11	2000	3
184281	50	171	200	19	2000	6
197417	50	182	200	28	2001	5
210483	50	182	200	17	2000	3
223539	50	161	200	7	2000	2
236619	50	171	200	17	2000	2
249676	50	171	200	14	2001	6
262730	50	175	200	9	2000	71
275777	50	165	200	4	2000	3
288852	50	188	200	13	2000	3
301903	50	186	200	13	2001	13
315031	50	162	200	15	2000	2
328080	50	186	200	15	2000	13
341145	50	188	200	19	2000	47
354204	50	192	200	19	2000	2
367259	50	191	200	13	2001	1
380413	50	189	200	7	2000	3
394390	50	193	200	20	2000	187
