time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
12516	50	148	200	68	2000	0
24581	50	143	200	141	2001	0
37576	50	148	200	127	2000	0
49645	50	141	200	139	2000	0
62477	50	155	200	138	2000	0
75052	50	167	200	162	2000	0
87826	50	156	200	146	2000	0
100867	50	167	200	120	2000	0
113371	50	153	200	139	2000	0
126034	50	153	200	151	2000	0
139054	50	158	200	135	2001	0
151349	50	153	200	153	2000	0
163415	50	158	200	158	2000	0
176417	50	156	200	145	2000	0
189322	50	154	200	142	2000	0
201460	50	151	200	148	2000	0
214491	50	143	200	124	2000	0
227480	50	157	200	154	2000	0
240525	50	150	200	143	2000	0
253570	50	141	200	88	2000	0
266570	50	153	200	114	2000	0
279334	50	150	200	146	2001	0
292556	50	152	200	113	2000	0
304621	50	151	200	151	2000	0
317617	50	160	200	79	2000	0
330666	50	163	200	141	2000	0
343700	50	155	200	76	2001	0
355976	50	159	200	154	2000	0
369101	50	173	200	110	2000	0
382154	50	149	200	108	2000	0
