time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
33040	50	148	200	128	2000	2
66080	50	143	200	143	2001	1
99042	50	148	200	148	2000	1
132075	50	141	200	141	2000	1
165080	50	155	200	155	2001	1
198128	50	167	200	167	2000	2
231133	50	156	200	156	2000	1
264134	50	167	200	167	2000	1
297123	50	153	200	153	2001	2
330161	50	153	200	153	2000	2
363139	50	158	200	158	2000	1
396132	50	153	200	153	2001	1
429114	50	158	200	158	2000	2
462164	50	156	200	156	2001	1
495204	50	154	200	154	2000	1
528259	50	151	200	151	2000	1
561277	50	143	200	143	2000	1
594316	50	157	200	157	2000	1
627316	50	150	200	150	2000	1
660327	50	141	200	141	2000	1
693408	50	153	200	153	2000	1
726425	50	150	200	150	2001	1
759348	50	152	200	152	2000	1
792381	50	151	200	151	2000	1
825391	50	160	200	160	2001	1
858230	50	163	200	163	2000	2
891213	50	155	200	155	2000	1
924230	50	159	200	159	2001	2
957364	50	173	200	173	2000	2
990360	50	149	200	149	2009	1
