time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
13018	50	0	149	0	0
26045	50	0	111	81	0
39055	50	0	121	81	0
52067	50	0	116	45	0
65078	50	0	144	64	0
78159	50	0	159	69	0
91135	50	0	154	104	0
104068	50	0	62	36	0
117102	50	0	134	41	0
130179	50	0	119	40	0
142978	50	0	51	31	0
155975	50	0	122	55	0
169216	50	0	121	86	0
182275	50	0	113	73	0
195254	50	0	114	74	0
207954	50	0	34	28	0
220752	50	0	40	19	0
234162	50	0	43	27	0
247159	50	0	142	50	0
260176	50	0	140	68	0
273126	50	0	170	81	0
286216	50	0	139	45	0
299276	50	0	145	69	0
312277	50	0	130	87	0
325281	50	0	144	40	0
338296	50	0	163	74	0
351375	50	0	150	105	0
364616	50	0	157	82	0
378231	50	0	161	85	0
391871	50	0	174	56	0
