time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
22032	20	100	100	29	1000	0
44086	20	100	100	29	1019	0
66199	20	100	100	24	1080	0
88225	20	100	100	36	1000	0
110311	20	100	100	22	1018	0
132723	20	100	100	26	1000	0
154752	20	100	100	26	1000	0
176782	20	100	100	13	1000	0
198800	20	100	100	18	1000	0
220829	20	100	100	39	1000	0
242861	20	100	100	30	1001	0
264944	20	100	100	27	1057	0
286971	20	100	100	28	1000	0
309000	20	100	100	28	1000	0
331036	20	100	100	28	1001	0
353061	20	100	100	21	1000	0
375078	20	100	100	24	1000	0
397108	20	100	100	29	1000	0
419128	20	100	100	23	1000	0
441240	20	100	100	34	1057	0
