time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
13027	50	169	200	0	2000	0
26053	50	143	200	0	2000	0
39017	50	149	200	148	2000	1
52209	50	142	200	125	2000	1
65213	50	173	200	161	2000	1
77974	50	180	200	177	2000	5
90896	50	174	200	169	2000	1
103924	50	90	200	90	2000	1
117067	50	155	200	92	2001	1
130099	50	140	200	99	2000	1
143304	50	75	200	72	2000	1
156594	50	141	200	135	2000	2
169555	50	144	200	144	2000	2
182581	50	143	200	143	2000	1
195726	50	143	200	138	2000	1
208763	50	65	200	65	2000	1
221801	50	66	200	65	2000	0
234840	50	70	200	70	2000	1
247828	50	165	200	97	2000	1
260850	50	160	200	132	2000	1
273843	50	192	200	144	2000	1
286867	50	164	200	159	2000	1
299824	50	174	200	145	2000	1
312800	50	151	200	150	2000	2
325802	50	168	200	126	2000	1
338658	50	191	200	175	2000	1
351427	50	180	200	169	2000	2
364457	50	182	200	159	2001	2
377462	50	189	200	172	2000	2
390420	50	193	200	161	2000	1
