time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
13041	50	0	149	55	126
26078	50	0	111	53	117
39302	50	0	121	46	109
52793	50	0	116	51	96
65838	50	0	144	38	74
78866	50	0	159	80	43
91903	50	0	154	60	65
104956	50	0	62	17	9
118000	50	0	134	34	50
131020	50	0	119	20	2
144025	50	0	51	14	15
157057	50	0	122	26	61
170089	50	0	121	46	55
183113	50	0	113	43	33
196157	50	0	114	40	39
209036	50	0	34	10	3
221993	50	0	40	17	3
234996	50	0	43	12	2
248017	50	0	142	24	9
261053	50	0	140	28	19
274113	50	0	170	38	73
287158	50	0	139	49	46
300198	50	0	145	34	36
313260	50	0	130	34	29
326297	50	0	144	18	6
340912	50	0	163	20	25
353950	50	0	150	25	25
367144	50	0	157	31	36
380219	50	0	161	24	10
393912	50	0	174	20	13
