time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
33224	50	0	148	68	121
66280	50	0	122	5	5
99354	50	0	129	30	5
132402	50	0	134	15	186
165423	50	0	43	6	157
198499	50	0	132	22	127
231727	50	0	139	14	32
264908	50	0	94	13	105
297940	50	0	45	4	8
330979	50	0	129	13	59
364067	50	0	123	30	204
397541	50	0	133	6	67
430616	50	0	125	27	132
463692	50	0	141	11	79
496764	50	0	159	18	41
529930	50	0	155	29	109
562990	50	0	136	7	92
596055	50	0	146	7	98
629108	50	0	149	14	72
662769	50	0	155	15	104
695821	50	0	143	6	2
728897	50	0	165	21	146
761960	50	0	159	24	214
795031	50	0	139	19	88
828093	50	0	154	21	144
861148	50	0	160	34	172
894257	50	0	159	24	131
927387	50	0	164	21	116
960506	50	0	167	28	208
993587	50	0	170	28	5
