time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
33040	50	0	128	0	0
66091	50	0	110	0	0
99141	50	0	120	0	0
132189	50	0	112	0	0
165241	50	0	129	0	0
198292	50	0	145	0	0
231345	50	0	136	0	0
264396	50	0	140	0	0
297449	50	0	130	0	0
330503	50	0	131	0	0
363555	50	0	135	0	0
396605	50	0	127	0	0
429655	50	0	133	0	0
462705	50	0	127	0	0
495757	50	0	121	0	0
528809	50	0	119	0	0
561857	50	0	118	0	0
594910	50	0	131	0	0
627958	50	0	125	0	0
661005	50	0	114	0	0
694057	50	0	130	0	0
727106	50	0	117	0	0
760158	50	0	126	0	0
793209	50	0	127	0	0
826260	50	0	135	0	0
859311	50	0	138	0	0
892360	50	0	125	0	0
925412	50	0	137	0	0
958464	50	0	142	0	0
991516	50	0	131	0	0
