time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
34992	50	0	149	55	145
68073	50	0	111	71	31
101098	50	0	121	85	24
134158	50	0	116	56	26
168788	50	0	144	55	51
202113	50	0	159	90	27
235220	50	0	154	94	29
268342	50	0	62	28	4
301428	50	0	134	38	8
334474	50	0	119	39	10
367524	50	0	51	29	2
400582	50	0	122	67	27
434571	50	0	121	84	26
467580	50	0	113	78	17
500657	50	0	114	76	23
533540	50	0	34	23	3
566525	50	0	40	28	8
599564	50	0	43	23	2
632991	50	0	142	86	52
667047	50	0	140	79	39
700886	50	0	170	105	26
734894	50	0	139	68	29
768220	50	0	145	68	23
801264	50	0	130	54	13
836334	50	0	144	40	33
870897	50	0	163	51	30
904309	50	0	150	54	34
938661	50	0	157	57	28
974604	50	0	161	59	55
1009266	50	0	174	48	37
