time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
33680	50	169	200	169	2047	9
66749	50	143	200	51	2001	3
99834	50	149	200	49	2001	24
132911	50	142	200	32	2000	50
165997	50	173	200	41	2000	39
199096	50	180	200	57	2005	115
232187	50	174	200	49	2003	58
265255	50	90	200	46	2000	78
298323	50	155	200	19	2000	20
331523	50	140	200	36	2116	58
365361	50	75	200	34	2747	52
398424	50	141	200	57	2000	102
431869	50	144	200	64	2001	81
464955	50	143	200	81	2000	73
498035	50	143	200	94	2014	55
531630	50	65	200	43	2005	65
564693	50	66	200	39	2000	15
597797	50	70	200	44	2000	124
630871	50	165	200	92	2000	166
663955	50	160	200	80	2011	226
696995	50	192	200	46	2000	48
730054	50	164	200	29	2000	27
763205	50	174	200	32	2096	4
796721	50	151	200	35	2000	46
829841	50	168	200	44	2037	47
862921	50	191	200	54	2001	105
896015	50	180	200	58	2000	71
929112	50	182	200	65	2003	81
962246	50	189	200	100	2000	76
995332	50	193	200	36	2000	18
